index par epar mag
49491 8.04 1.14 8.642
49492 5.46 1.22 8.943
49493 9.44 0.86 6.29
49494 11.62 1.2 9.304
49495 5.6 0.97 8.072
49496 13.23 1.53 7.257
49497 3.84 1.15 8.373
49498 3.32 1.2 8.251
49499 1.43 0.78 8.476
49500 2.97 0.59 7.075
49501 8.73 0.69 8.048
49502 0.6 1.15 8.603
49503 8.22 3.59 8.523
49504 7.73 0.7 6.743
49505 11.05 1.24 9.152
49506 5.14 1.09 8.921
49507 44.77 1.96 10.039
49508 4.77 0.94 7.771
49509 16.57 0.95 6.642
49510 3.86 1.36 9.641
49511 5.53 1.1 7.991
49512 2.39 1.16 9.026
49513 -0.95 1.27 9.17
49514 1.83 0.85 8.019
49515 2.78 1.16 8.809
49516 2.37 4.59 10.705
49517 33.72 1.05 8.904
49518 6.18 0.85 7.891
49519 5.62 1.03 7.809
49520 1.69 1.57 8.941
49521 2 0.88 7.781
49522 2.43 1.66 9.519
49523 12.63 0.76 6.712
49524 10.79 1.3 8.761
49525 9.15 1.04 7.627
49526 4.24 0.87 7.689
49527 16 0.86 7.47
49528 4.1 1.27 10.127
49529 6.35 0.77 8.729
49530 9.09 0.68 7.91
49531 9.5 0.67 5.754
49532 5.36 1.31 9.12
49533 0.65 1.69 8.966
49534 13.46 1.22 9.36
49535 4.14 1.04 8.711
49536 12.75 1.71 8.822
49537 5.47 1.11 8.652
49538 11.98 1.44 9.4
49539 23.69 1.71 10.346
49540 0.6 0.75 7.306
49541 6.9 0.72 8.635
49542 25.5 1.02 8.048
49543 2.32 1.58 10.432
49544 9.86 0.86 8.157
49545 1.53 0.77 3.508
49546 2.31 0.93 8.854
49547 5.73 1.14 8.845
49548 20.83 1.03 8.22
49549 4.34 1.23 7.459
49550 3.38 0.98 8.402
49551 3.12 1.51 9.312
49552 7.13 0.96 7.7
49553 3.65 0.9 8.336
49554 0.38 0.73 8.433
49555 35.78 0.84 4.507
49556 6.76 1 8.464
49557 3.31 0.78 7.785
49558 8.05 1.56 8.857
49559 8.9 1.14 8.324
49560 1.69 0.89 7.921
49561 20.51 1.26 8.697
49562 4.71 1.38 8.965
49563 1.15 1.17 9.271
49564 1.35 0.87 8.054
49565 4.01 0.82 8.283
49566 2.18 0.9 8.756
49567 11.12 4.64 9.199
49568 5.71 0.7 8.294
49569 1.2 0.73 8.292
49570 1.19 0.69 8.308
49571 5.95 5.77 9.081
49572 4.17 0.81 7.261
49573 1.07 0.6 7.62
49574 5.4 0.9 9.409
49575 2.48 1.05 6.885
49576 8.93 0.73 8.772
49577 19.82 1.17 7.789
49578 7.56 1.12 8.986
49579 14.88 1.24 8.445
49580 2.19 1.02 8.615
49581 2.51 0.54 6.366
49582 1.37 0.81 9.183
49583 16.76 1.17 8.742
49584 10.64 1.22 9.146
49585 3.83 1 10.195
49586 19.33 1.08 7.221
49587 1.46 1.18 8.925
49588 1.67 1.17 10.48
49589 5.42 1.02 8.362
49590 8.48 1.02 8.685
49591 -0.54 2.18 10.759
49592 4.67 0.92 7.794
49593 5.55 1.2 9.005
49594 -0.35 0.82 8.705
49595 6.29 0.94 8.329
49596 3.89 0.86 6.832
49597 17.85 1.77 10.175
49598 2.77 1.19 8.161
49599 1.88 1.17 9.138
49600 11.89 0.72 4.537
49601 14.85 1.66 8.095
49602 8.56 0.97 9.183
49603 -0.28 6.46 NA
49604 11.35 1.09 4.474
49605 3.99 0.52 6.432
49606 2.34 1.03 7.866
49607 22.85 0.89 8.926
49608 5.53 0.78 6.443
49609 1.58 0.73 8.521
49610 8.3 0.81 7.612
49611 5.23 0.96 8.545
49612 12.03 0.86 8.029
49613 -5.18 2.42 NA
49614 6.24 0.94 8.348
49615 5.38 1.06 8.343
49616 0.84 0.82 7.773
49617 6.85 2.28 8.698
49618 4.78 1.66 9.94
49619 1.82 1.22 8.926
49620 1.97 1.45 9.455
49621 15.8 0.82 6.28
49622 3.93 1.88 8.945
49623 4.54 4.61 9.25
49624 1.21 1.08 8.718
49625 14.62 0.53 6.695
49626 1.38 0.72 8.511
49627 1.7 1.31 9.764
49628 2.9 1.12 9.025
49629 9.28 0.94 8.463
49630 3.81 1.25 9.218
49631 26.49 0.97 7.347
49632 42.09 0.79 1.399
49633 9 0.71 7.23
49634 2.91 1.21 8.348
49635 5.86 1.18 8.983
49636 4.17 0.82 8.909
49637 25.47 1.13 8.185
49638 1.84 0.61 7.618
49639 2.27 0.89 9.178
49640 4.88 1.11 7.833
49641 9.28 1.33 10.157
49642 6.16 0.82 9.219
49643 23.02 0.94 7.578
49644 14.73 1.14 9.104
49645 4.44 1.04 7.94
49646 7.87 1.38 8.823
49647 5.08 1.14 8.386
49648 28.14 1.07 8.876
49649 9.21 1.24 8.792
49650 5.62 1.5 10.119
49651 3.69 0.56 6.502
49652 5.64 0.68 6.248
49653 2.49 0.95 7.944
49654 3.67 1.5 9.099
49655 4.87 1.52 9.464
49656 4.91 0.88 8.963
49657 17.27 0.96 6.728
49658 1.36 0.57 7.387
49659 1.72 1.13 9.253
49660 3.3 0.68 8.087
49661 9.55 0.49 5.362
49662 55.37 0.94 7.671
49663 13.67 1.03 7.87
49664 6.14 0.85 6.538
49665 2.19 1.72 9.902
49666 2.66 1.46 9.824
49667 2.42 1.11 8.615
49668 3.83 0.82 9.293
49669 4.15 1.68 8.905
49670 2.97 1.15 8.825
49671 7.14 1.62 10.031
49672 9.22 2.03 8.382
49673 6.93 1.27 9.383
49674 1.47 0.59 7.618
49675 3.01 0.53 4.836
49676 19.07 1.55 9.692
49677 13.17 0.7 8.042
49678 0.05 1.45 9.733
49679 5 3.36 9.477
49680 3.7 1.13 8.1
49681 1.5 1.91 NA
49682 9.13 2.93 9.271
49683 9.97 0.56 6.785
49684 12.37 1.36 9.951
49685 2.12 0.74 7.376
49686 1.19 0.61 7.514
49687 3.52 0.72 6.729
49688 8.56 1.7 8.165
49689 6.82 0.83 9.128
49690 5.96 0.9 7.841
49691 28.37 0.82 7.61
49692 5.91 0.92 7.038
49693 6.31 1 8.326
49694 4.09 0.98 7.951
49695 5.78 0.7 8.515
49696 4.08 0.76 7.646
49697 5.52 1.5 9.803
49698 5.56 0.94 7.873
49699 11.98 1.03 9.276
49700 5.14 6.25 10.732
49701 19.29 1.19 8.963
49702 1.86 0.8 8.869
49703 5.24 0.86 6.727
49704 4.88 1.34 9.488
49705 7.17 0.75 7.175
49706 1.5 0.74 7.952
49707 4.72 1.5 10.069
49708 3.9 0.92 8.175
49709 2.51 0.95 8.045
49710 2.15 0.88 6.762
49711 2.79 1 9.259
49712 12.16 1.3 8.59
49713 3.26 1.63 10.656
49714 2.47 0.63 6.475
49715 1.22 1.28 9.234
49716 4.47 1.18 8.028
49717 0.71 1.17 9.402
49718 4.39 0.98 7.299
49719 26.96 0.97 7.59
49720 -1.34 1.57 9.159
49721 7.33 1.22 9.206
49722 3.7 1.17 9.252
49723 4.27 1.02 8.635
49724 7.54 1.25 9.443
49725 2.9 1.31 8.303
49726 5.59 1.18 5.822
49727 6.5 1.04 8.221
49728 6.8 0.73 7.223
49729 3.5 0.85 7.282
49730 24.34 0.88 7.523
49731 32.55 0.65 6.226
49732 4.5 1.27 9.49
49733 4.3 0.67 7.863
49734 15.87 1.07 8.577
49735 3.35 1.22 9.224
49736 4.59 1.82 10.358
49737 5.59 0.99 7.559
49738 2.28 1.05 8.216
49739 4.15 1.08 8.727
49740 12.38 1.15 8.618
49741 -12.71 11.67 NA
49742 8.52 11.71 9.88
49743 2.11 1.25 9.178
49744 2.02 0.65 8.029
49745 3.24 1.37 8.466
49746 2.27 1 8.271
49747 5.42 0.88 7.621
49748 15.95 0.97 8.561
49749 12.53 1.12 8.447
49750 3.55 1.35 8.7
49751 3.99 0.71 7.062
49752 2.87 1.29 8.598
49753 3.76 0.66 8.015
49754 3.66 0.64 8.063
49755 3.09 1.14 9.356
49756 21.97 0.9 8.142
49757 3.13 0.73 7.518
49758 3.08 1.31 9.321
49759 3.43 3.74 10.358
49760 0.68 1.44 9.4
49761 5.26 1.42 9.542
49762 0.88 0.72 8.413
49763 5.49 0.87 7.556
49764 1.04 1.17 8.824
49765 12.57 0.81 6.249
49766 3.2 1.13 9.165
49767 18.02 0.56 7.455
49768 5.13 0.96 8.559
49769 26.46 1.94 NA
49770 3.76 1.48 9.5
49771 9.98 0.93 8.662
49772 36.61 0.79 5.338
49773 0.2 1.31 9.337
49774 6.26 1.14 8.397
49775 6.19 1.55 5.902
49776 13.43 1.16 8.094
49777 3.3 1.16 9.549
49778 6.14 1.06 7.571
49779 1.89 0.78 9.117
49780 2.75 1.59 10.122
49781 0.33 1.89 9.904
49782 3.5 0.87 7.863
49783 3.89 1.93 10.478
49784 19.48 2.47 NA
49785 4.96 0.64 6.929
49786 2.75 1.14 8.804
49787 1.73 1.48 9.415
49788 10.53 0.89 7.196
49789 17.54 1.56 8.906
49790 11.46 1 9.904
49791 2.24 0.52 6.884
49792 12.04 0.73 7.207
49793 10.63 1.03 8.705
49794 5.88 0.99 7.457
49795 5.5 1.01 7.913
49796 3.85 0.58 6.892
49797 3.24 0.74 8.496
49798 3.28 0.54 7.09
49799 9.05 0.68 7.145
49800 2.87 1.25 9.269
49801 -0.51 1.14 10.523
49802 13.02 0.75 7.17
49803 3.87 0.71 8.13
49804 28.44 0.96 3.721
49805 3.36 0.94 7.861
49806 2.12 0.91 8.326
49807 14.63 0.62 6.119
49808 0.75 1.38 7.874
49809 22.46 1.3 8.478
49810 2.29 1.57 10.018
49811 6.05 1.57 9.457
49812 5.62 0.8 6.792
49813 10.38 1.14 7.987
49814 4.79 0.99 8.879
49815 2.03 1.26 9.085
49816 7.35 1.28 8.706
49817 4.26 1.04 8.471
49818 3.82 0.97 8.599
49819 3 0.94 8.078
49820 3.52 1.28 9.144
49821 2.96 0.83 7.117
49822 9.11 0.74 8.885
49823 5.89 0.82 9.176
49824 7.89 2.26 8.67
49825 2.76 1.32 8.865
49826 4.4 0.59 7.46
49827 6.89 0.95 5.766
49828 6.67 1.51 7.328
49829 3.98 1.15 8.656
49830 3.11 0.8 7.272
49831 47.06 2.72 8.972
49832 17.72 4.47 10.098
49833 5.47 0.97 6.463
49834 6.09 1.2 7.665
49835 1.79 1.17 9.323
49836 6.41 5.77 NA
49837 1.81 0.97 8.461
49838 3.62 0.79 8.395
49839 0.69 0.84 9.079
49840 4.26 0.69 8.058
49841 11.77 0.85 7.921
49842 6.51 1.44 9.253
49843 3.99 0.98 7.368
49844 4.78 0.72 7.531
49845 18.92 0.85 6.682
49846 12.65 1.27 8.374
49847 0.53 1.49 9.551
49848 3.14 0.79 8.412
49849 1.76 1.06 8.838
49850 2.68 1.02 7.998
49851 2.56 1.1 7.774
49852 35.62 1.48 NA
49853 2.57 2.09 11.035
49854 2.97 1.27 9.067
49855 4.48 0.54 6.961
49856 5.41 0.77 5.989
49857 4.73 0.65 7.592
49858 3.39 1.21 9.397
49859 1.87 1.16 9.126
49860 1.74 1.13 9.376
49861 1.22 1.36 8.713
49862 4.78 0.83 7.569
49863 6.74 0.88 6.238
49864 1.81 1.15 9.066
49865 5.07 0.7 6.961
49866 23.03 2.25 NA
49867 8.2 1.38 8.598
49868 3.75 0.99 8.182
49869 6.59 0.91 8.035
49870 1.22 0.75 8.344
49871 205.22 0.81 6.753
49872 2.49 0.7 7.832
49873 25.47 3.52 NA
49874 7.81 0.86 8.262
49875 2.13 0.7 8.126
49876 16.01 0.72 8.575
49877 1.7 1.23 9.209
49878 5.3 0.74 7.798
49879 4.88 0.96 8.164
49880 5.84 1.54 10.44
49881 3.15 1.02 9.35
49882 10.24 0.69 8.194
49883 4.78 0.91 7.75
49884 -0.23 1.99 11.127
49885 8.1 3 9.201
49886 1.23 1.28 8.672
49887 4.25 1.26 8.55
49888 1.26 1.04 7.968
49889 4.32 0.54 6.304
49890 1.27 0.84 9.022
49891 7.21 1.24 8.642
49892 1.64 1.42 9.6
49893 14.49 0.84 6.481
49894 0.87 1.03 8.681
49895 1.42 0.9 9.399
49896 4.54 1.13 8.509
49897 1.81 0.76 8.751
49898 2.52 0.5 5.748
49899 11.44 1.25 8.531
49900 1.4 0.76 8.513
49901 8.18 1.37 9.646
49902 7.79 1.17 8.816
49903 1.99 0.65 7.906
49904 2.5 0.7 8.243
49905 16.01 1.03 8.507
49906 16.59 0.67 6.704
49907 0.87 1.02 8.959
49908 2.5 0.57 7.166
49909 0.61 5.05 10.933
49910 4.12 1.37 9.085
49911 3.72 1.14 8.711
49912 3.74 0.73 7.298
49913 3.32 0.69 6.992
49914 5.39 0.73 7.197
49915 2.51 0.94 8.345
49916 4.59 0.82 7.537
49917 2.13 1.51 10.092
49918 4.35 0.92 8.705
49919 9.14 1.24 8.457
49920 3.27 0.65 7.343
49921 4.69 1.54 10.628
49922 3.24 0.93 7.749
49923 1.1 1.04 9.346
49924 10.48 2.33 8.038
49925 1.93 1.05 8.669
49926 4.39 1.34 9.069
49927 2.93 1.42 9.506
49928 6.4 0.63 6.278
49929 4.08 1.34 9.117
49930 2.4 0.99 7.549
49931 34.25 15.6 9.565
49932 81.23 2.37 NA
49933 7.54 1.59 8.86
49934 34.25 15.6 NA
49935 4.54 1.14 9.167
49936 58.59 1.66 10.292
49937 1.61 1.2 9.744
49938 1.39 0.69 8.002
49939 2.61 0.78 8.323
49940 14.02 2.11 8.653
49941 4.69 0.63 7.693
49942 9.4 0.81 7.849
49943 5.82 0.91 8.415
49944 7.04 6.1 9.627
49945 -1.01 1.28 9.538
49946 2.3 0.73 8.669
49947 4.87 1.64 7.633
49948 11.19 1.19 8.474
49949 127.99 1.53 9.505
49950 11.47 0.69 8.335
49951 14.43 1.11 7.959
49952 0.39 1.26 8.656
49953 -1.11 2.3 11.042
49954 2.27 1.23 9.09
49955 3.34 0.94 8.61
49956 10.93 1.27 8.74
49957 9.75 0.57 6.285
49958 5.54 0.91 7.108
49959 2.25 0.61 7.665
49960 3.58 0.83 7.509
49961 12.75 1.38 9.708
49962 5.38 1.03 8.605
49963 4.5 1.72 9.322
49964 2.54 1.23 9.896
49965 5.94 0.61 7.9
49966 1.87 1.1 8.963
49967 2.83 1.05 8.519
49968 11.95 1.81 10.376
49969 3.13 1.17 8.686
49970 3.69 1.12 8.664
49971 5.8 2.1 9.831
49972 3 1.47 9.416
49973 7.68 1.09 9.257
49974 3.33 1.11 8.986
49975 5.65 1.56 9.935
49976 23.75 0.73 6.512
49977 14.87 1.82 10.695
49978 10.13 1.59 8.608
49979 13.97 8.5 10.209
49980 0.91 1.45 9.406
49981 7.08 0.95 6.97
49982 4.47 2.46 8.589
49983 10.78 0.72 7.969
49984 0.84 1.79 9.224
49985 2.61 1.25 8.733
49986 3.68 0.87 7.972
49987 3.6 0.83 8.209
49988 3.87 0.72 7.459
49989 2.13 0.69 7.96
49990 6.19 0.89 5.906
49991 8.59 1.64 9.462
49992 5.35 1.07 8.064
49993 2.84 0.79 7.201
49994 0.69 0.72 8.037
49995 23.19 1.09 9.166
49996 8.6 1.11 8.684
49997 6.11 0.66 7.516
49998 16.5 0.83 7.628
49999 24.4 1.24 8.329
50000 1.11 1.22 8.936
50001 2.93 0.75 6.946
50002 8.37 1.71 9.986
50003 13.35 1.18 8.322
50004 1.3 0.73 8.59
50005 1.48 1.13 9.266
50006 3.34 0.79 7.035
50007 1.65 0.49 6.081
50008 20.22 2.66 NA
50009 3.35 1.2 8.265
50010 1.48 0.73 7.368
50011 4.04 1.06 8.694
50012 13.77 1.88 10.401
50013 3.85 1.93 10.638
50014 1.76 1.26 9.313
50015 14.36 1.76 8.405
50016 1.11 1.29 8.921
50017 22.47 1.51 9.958
50018 4.82 1.13 8.376
50019 7.89 1.04 7.869
50020 10.09 0.97 7.424
50021 0.97 1.22 8.89
50022 9.17 1.09 8.413
50023 5.03 1.55 9.708
50024 10.8 0.96 7.775
50025 3.63 0.77 8.029
50026 1.1 1.47 10.609
50027 5.1 1.29 9.149
50028 5.19 1.02 8.201
50029 7.98 1.38 6.255
50030 3.19 0.51 6.393
50031 1.11 0.81 8.511
50032 3.97 0.54 6.642
50033 20.06 0.56 5.304
50034 2.98 0.64 8.277
50035 3.15 1.57 9.51
50036 2.9 2.46 NA
50037 7.06 1.32 9.144
50038 43.98 0.72 6.437
50039 1.49 0.88 8.424
50040 10.25 0.67 5.808
50041 7.9 1.17 8.638
50042 3.43 0.74 7.022
50043 5.46 1.87 10.883
50044 5.58 0.94 7.54
50045 4.18 1.15 8.778
50046 10.74 0.47 5.176
50047 16.29 1.01 7.494
50048 -2.75 5.15 NA
50049 2.94 1.1 9.134
50050 5.34 0.69 8.074
50051 3.52 0.78 8.877
50052 9.19 1.51 9.606
50053 2.59 0.9 8.655
50054 1.61 1.45 8.925
50055 1.51 0.84 8.218
50056 5.69 0.93 7.557
50057 0.45 1.15 9.015
50058 5.17 1 8.424
50059 4.56 1.29 9.009
50060 10.5 0.86 6.666
50061 2.04 1.04 8.933
50062 8.81 0.48 3.288
50063 20.7 0.83 7.265
50064 2.87 0.6 7.628
50065 6 0.8 8.791
50066 7.24 0.61 6.042
50067 1.1 1.5 9.715
50068 5.08 0.95 7.518
50069 15.05 0.77 9.053
50070 3.81 1.58 7.709
50071 0.93 0.5 6.722
50072 8.39 1.05 6.142
50073 3.42 1.05 8.171
50074 7.8 1.11 8.128
50075 -1.01 1.91 10.922
50076 3.26 1.68 8.478
50077 11.05 1.78 10.401
50078 3.04 0.87 7.848
50079 10.43 0.99 8.522
50080 2.9 1.32 8.79
50081 3.48 0.87 9.154
50082 1.94 1.12 8.408
50083 18.96 2.07 10.637
50084 11.84 0.63 8.179
50085 7.27 0.63 6.438
50086 -0.75 1.25 9.504
50087 2.14 1.39 9.512
50088 43.8 1.42 9.659
50089 2.6 0.64 7.695
50090 3.39 1.5 9.844
50091 4.59 0.82 8.279
50092 0.17 1.1 9.103
50093 15.47 3.59 10.116
50094 4.13 1.56 9.844
50095 2.79 0.72 7.531
50096 5.14 0.96 7.902
50097 4.29 1.41 10.043
50098 2.2 0.66 7.47
50099 3.41 1.3 9.244
50100 13 0.83 8.502
50101 4.85 1.56 9.811
50102 27.67 1.01 7.793
50103 4.83 0.82 7.083
50104 8.16 1.72 10.023
50105 2.44 0.72 6.563
50106 10.5 0.89 7.65
50107 2.01 1.29 9.325
50108 9.81 1.31 9.096
50109 6.7 1.48 9.496
50110 2.74 0.97 8.027
50111 2.2 0.81 7.574
50112 5.54 0.69 6.637
50113 4.07 1.22 9.301
50114 -0.05 0.93 8.731
50115 0.53 1.62 10.225
50116 7.47 0.96 9.71
50117 2 0.92 8.124
50118 48.95 1.71 10.195
50119 19.07 1.58 9.488
50120 3.73 1.55 8.629
50121 2.4 0.75 8.161
50122 4.61 2.99 10.001
50123 1.32 1.33 9.579
50124 6.7 2.25 8.594
50125 3.66 0.75 7.208
50126 2.21 0.76 8.175
50127 19.3 4.6 9.98
50128 7.36 1.21 9.012
50129 -0.38 1.41 9.399
50130 0.16 0.89 7.801
50131 2.11 2.39 8.636
50132 1.27 1.2 9.366
50133 4.09 1.29 9.707
50134 1.65 0.66 7.381
50135 8.66 1.44 9.807
50136 0.63 1.14 8.728
50137 19.27 0.89 6.087
50138 2.39 1.04 7.233
50139 17.71 1.18 9.262
50140 3.91 1.1 8.244
50141 3.73 1.44 9.766
50142 2.18 1.35 7.874
50143 26.66 3.09 8.102
50144 8.81 0.65 7.876
50145 3.16 1.03 8.659
50146 8.39 1.71 9.154
50147 0.37 1.75 10.667
50148 6.42 1.82 10.744
50149 5.37 0.75 8.338
50150 6.61 1.02 8.165
50151 6.56 0.76 7.81
50152 2.2 0.95 9.378
50153 2.56 1.03 7.928
50154 31.72 0.55 3.847
50155 8.42 1.08 8.594
50156 8.31 1.93 9.119
50157 20.01 3.94 NA
50158 6.75 2.23 9.105
50159 12.37 0.62 6.564
50160 20.07 0.85 8.916
50161 0.81 1.01 9.386
50162 0.93 0.75 8.442
50163 3.83 0.61 6.736
50164 2.73 0.98 8.829
50165 8.76 1.27 8.779
50166 12.49 1.05 7.998
50167 15.04 0.72 8.319
50168 1.76 0.8 8.85
50169 -1.51 1.66 10.703
50170 6.45 1.34 9.396
50171 4.47 0.68 8.203
50172 2.27 1.09 8.347
50173 3.14 0.62 6.733
50174 5.16 1.23 9.403
50175 2.07 1.63 9.108
50176 12.34 3.36 NA
50177 5.99 1.45 8.625
50178 1.63 0.91 8.723
50179 23.27 3.8 NA
50180 6.98 0.9 7.338
50181 4.27 0.77 6.562
50182 -0.2 0.97 8.43
50183 7.85 0.57 6.76
50184 1.62 1.11 8.942
50185 1.87 0.71 6.374
50186 6.34 2.29 8.319
50187 16.9 6.31 9.568
50188 2.97 0.82 8.975
50189 2.13 0.82 8.187
50190 35.04 2.39 10.625
50191 5.71 1.31 8.47
50192 3.56 1.69 10.756
50193 12.43 0.6 7.926
50194 2.29 0.53 6.12
50195 2.53 0.68 7.9
50196 8.88 0.67 6.282
50197 2.53 0.93 9.089
50198 3.96 0.66 8.751
50199 3.49 1.4 9.711
50200 4.87 1.1 8.268
50201 3.23 1.58 9.887
50202 0.26 0.67 8.587
50203 5.99 0.6 5.751
50204 2.75 0.58 7.029
50205 3.99 0.75 7.83
50206 5.11 1.53 10.735
50207 13.1 0.99 7.802
50208 8.45 1.12 8.311
50209 3.69 0.84 8.065
50210 4.91 0.66 7.772
50211 6.09 0.66 8.147
50212 9.11 1.58 8.375
50213 10.48 1.22 7.993
50214 -1.46 1.3 9.185
50215 -1.39 0.78 7.983
50216 3.61 0.87 8.389
50217 11.18 1.3 9.369
50218 0.77 1.38 8.369
50219 6.11 1.02 9.905
50220 5.09 0.81 7.871
50221 4.38 0.79 7.822
50222 11.1 0.88 8.183
50223 1.93 1.61 9.507
50224 3.68 0.81 7.901
50225 4.6 0.61 7.113
50226 7.81 0.91 8.413
50227 3.72 0.88 8.872
50228 1.62 1.46 9.604
50229 26.32 3.12 NA
50230 2.32 0.88 8.415
50231 0.48 0.79 7.963
50232 2.19 0.92 8.238
50233 0.38 0.66 7.934
50234 7.53 1.71 9.511
50235 1.51 1.96 10.556
50236 22.42 0.82 9.042
50237 3.43 1.11 8.861
50238 0.31 0.88 8.501
50239 3.18 0.7 8.273
50240 4.06 1.29 9.511
50241 7.81 0.57 6.843
50242 1.44 1.07 8.572
50243 4.84 2.57 9.665
50244 8.18 1.41 8.824
50245 5.26 1.32 9.047
50246 0.66 1 8.497
50247 2.81 1.05 7.966
50248 5.43 0.73 6.811
50249 12.07 0.56 6.251
50250 17.99 0.71 7.304
50251 0 1.67 10.814
50252 1.38 1.05 8.676
50253 2.24 1.04 8.009
50254 5.08 0.95 6.19
50255 5.35 0.95 7.364
50256 2.54 1.33 9.236
50257 7.61 1.1 8.834
50258 3.16 1.83 10.59
50259 5.16 1.43 9.815
50260 1.13 1.51 10.441
50261 3.23 1.15 8.677
50262 1.02 1.41 9.423
50263 3.3 1.04 8.468
50264 15.15 1.16 8.416
50265 12.67 0.75 5.492
50266 10.49 1.04 8.296
50267 9.5 1.87 6.862
50268 6.61 0.91 7.403
50269 2.31 0.99 7.795
50270 7.95 0.62 6.859
50271 6.66 1.09 7.795
50272 1.43 1.09 8.062
50273 6.45 0.77 7.533
50274 1.32 1.15 8.653
50275 6.89 2.43 9.852
50276 8.93 0.95 8.507
50277 1.73 0.97 7.732
50278 31.25 0.81 6.533
50279 0.63 0.82 8.81
50280 7.44 0.94 7.293
50281 32.94 0.85 6.041
50282 10.89 0.89 6.72
50283 11.52 1.16 8.375
50284 7.37 1.09 8.331
50285 5.76 1.53 9.572
50286 8.32 1.82 10.402
50287 17.54 0.92 7.391
50288 2.78 0.92 8.694
50289 20.03 1.19 8.771
50290 3.44 1.88 9.494
50291 0.43 0.8 9.102
50292 4.27 1.18 8.861
50293 8.66 0.73 8.305
50294 4.66 0.63 6.456
50295 6.53 0.87 5.612
50296 3.18 1.24 9.21
50297 12.56 0.78 3.474
50298 10.35 0.9 5.973
50299 8.62 1.07 8.393
50300 6.7 0.98 9.795
50301 2.07 1.95 8.772
50302 9.8 0.82 6.631
50303 72.79 2.37 NA
50304 1.19 1.03 8.352
50305 7.37 1.03 7.789
50306 4.32 1.03 7.296
50307 2.74 2.48 8.932
50308 7.23 1.17 8.745
50309 4.33 1.13 8.932
50310 1.52 0.96 7.69
50311 6.04 0.78 7.399
50312 9.97 0.8 8.619
50313 10.97 1.34 8.861
50314 19.03 1.59 9.693
50315 6.33 1.24 8.906
50316 2.01 1.45 9.202
50317 1.78 1.59 10.266
50318 28.11 1.14 7.65
50319 5.3 1.19 8.527
50320 0.33 1.16 8.91
50321 7.29 1.36 9.877
50322 6.71 1.08 9.335
50323 8.59 0.8 8.229
50324 11.54 1.17 8.643
50325 3.15 1.26 9.033
50326 13.33 0.95 7.671
50327 0.46 0.68 8.347
50328 19.46 0.92 7.348
50329 5.47 0.87 8
50330 12.76 1.25 9.034
50331 0.93 1.61 10.685
50332 2.92 2.44 8.423
50333 4.43 0.49 3.55
50334 24.27 0.79 3.447
50335 7.54 1.18 9.672
50336 14.03 1.24 9.22
50337 30.69 2.14 NA
50338 6.49 0.83 9.034
50339 2.91 1.17 7.784
50340 5.82 2.39 10.817
50341 5.3 0.63 8.09
50342 9.79 1.69 8.368
50343 4.64 1.26 9.304
50344 7.68 1.43 10.096
50345 8.62 1.25 8.892
50346 44.01 0.75 5.874
50347 8.51 3.32 NA
50348 1.66 0.92 8.746
50349 1.35 1.07 8.986
50350 3.04 1.29 8.868
50351 3.11 0.83 6.742
50352 7.02 1.06 8.788
50353 16.07 0.59 6.516
50354 11.93 1.34 9.675
50355 2.65 0.98 8.256
50356 2.17 0.99 7.891
50357 0.23 1.04 8.951
50358 16.57 1.33 9.095
50359 3.84 0.85 8.787
50360 3.67 0.73 8.371
50361 7.33 1.25 9.812
50362 3.65 0.81 8.842
50363 7.9 1.08 8.286
50364 3.3 0.96 7.347
50365 2.88 0.64 6.823
50366 3.99 1.02 8.347
50367 9.69 1.04 8.653
50368 -0.16 1.08 8.844
50369 0.3 1.01 8.629
50370 4.1 0.88 7.43
50371 3.24 1.18 9.289
50372 1.59 0.94 7.963
50373 16.81 1.99 10.963
50374 -0.12 2.55 11.086
50375 3.67 1.25 8.487
50376 17.86 0.75 5.278
50377 1.15 0.7 7.595
50378 5.12 0.72 8.448
50379 10.09 0.8 7.349
50380 4.67 0.94 8.451
50381 8.23 1.41 9.397
50382 2.96 1.08 9.119
50383 6.38 0.78 8.73
50384 4.5 1.06 7.883
50385 7.11 1.14 8.438
50386 12.87 1.32 8.526
50387 2.68 0.97 8.217
50388 -1.59 0.95 9.02
50389 1.31 0.74 8.681
50390 9.54 1.26 8.321
50391 6.69 1.14 8.706
50392 2.62 0.82 8.647
50393 4.57 0.99 9.039
50394 5.17 1.19 8.879
50395 10.7 2.33 6.671
50396 4.34 1.24 8.763
50397 15.62 6.97 7.361
50398 8.16 1.47 8.811
50399 5.34 0.67 7.871
50400 4.39 1.01 8.371
50401 4.03 0.84 7.491
50402 13.41 0.84 7.728
50403 3 0.88 8.396
50404 8.48 1.15 9.373
50405 3.42 0.97 8.463
50406 4.13 0.93 7.759
50407 2.13 1.47 8.251
50408 1.19 1.28 9.478
50409 16.04 0.62 6.561
50410 13.07 0.59 5.764
50411 3.09 0.8 8.333
50412 6.87 1.06 8.737
50413 4.1 1.54 7.75
50414 2.82 0.82 8.142
50415 5.97 1.01 8.21
50416 4.56 1.11 7.981
50417 3.47 1.07 8.505
50418 1.5 0.63 5.552
50419 -0.31 2.14 10.218
50420 12.51 1.3 8.571
50421 7.83 0.73 6.525
50422 0.56 0.95 8.895
50423 12.44 0.52 6.797
50424 9.61 1.14 8.564
50425 6.86 0.94 7.877
